title,content
总会有一个不嫌弃你的人陪你一辈子,一个人，一辈子，总要悲一阵子，喜一阵子，聚一阵子，散一阵子，青春一阵子，美丽一阵子，沧桑一阵子，深沉一阵子，幼稚一阵子，成熟一阵子，烦恼一阵子，艰辛一阵子，痛苦一阵子，幸福一阵子。不管哪阵子，别忘了，不论你再丑再穷，总会有一个不嫌弃你的人，陪着你，不是一阵子，而是一辈子。
有一种幸福叫守候,有一种心态叫放下；有一种境界叫舍得；有一种幸福叫守候；有一种智慧叫低调；有一种选择叫放弃；有一种明白叫糊涂；有一种心态叫包容；有一种快乐叫简单；有一种美德叫微笑；有一种幸福叫珍惜；有一种美丽叫自信；有一种感动叫分享；有一种真情叫关爱；有一种温暖叫感恩；有一种成功叫坚持。
很多时候……,很多时候，我想爱你，却发现自己跟本不可以爱你；很多时候，我想忘了你，却发现你在我心里占据着太重要的位置；很多时候，我想对你说，爱你的我真的累了，可你却毫不在意；很多时候，我想放弃爱你，并不是不爱你了，而是太爱你，所以我才愿意放开你。
越是坚强的女人越是有一股让人尊敬与心疼的魅力,遇到困难，越是坚强的女人越是有一股让人尊敬与心疼的魅力。坚强不是倔强更不是强悍，它是情感的理性依托。它让受伤的女人把目光投向远方，给自己一个信步生活的理由。坚强的女人会打一把钥匙解开心锁；借一方晴空，拥抱阳光。她还会找一个肩膀让泪水尽情流淌。爱过，痛过，哭过，笑过。然后继续坚强。
糗事百科之买西红柿,大爷买西红柿挑了三个到秤盘，摊主秤了下：“一斤半三块七。” 大爷：“做汤用不那么多。”去掉了最大的西红柿。摊主，“一斤二两，三块。” 正当我想提醒大爷注意秤子时，大爷从容的掏出了七毛钱，拿起刚刚去掉的那个大的西红柿，扭头就走了…… 摊主当场就凌乱了，我憋成内伤，把头扭向一边……
如果我都不接受，它们还是归属于你,如果你欣赏我，请你静坐期待，我会让你更欣赏。如果你嫉妒我，请你远离，因为我会让你更嫉妒。如果你认为我出尘脱俗，我便是。如果你觉得我娇揉造作，我便是。如果你认为我清高自傲，我不反驳。如果你认为我俗不可耐，我便轻笑。你赠予的嫉妒，愤怒与侮辱。如果我都不接受，它们还是归属于你！
富人和穷人的差别，经典！,富人说：钱不是问题；穷人说：问题是没钱。富人说：身边女人很多，不知道哪个真心；穷人说：俺是真心的，身边没一个女人；富人说：孩子很多，不知道哪个是老婆的；穷人说：孩子一个，不知道是不是亲生的；富人说：房子很多，不知该住哪一个，穷人说：房子住过很多，没有一处是自己的。
你所在的省份，高考分数线高吗？,一湖南小伙在北京一建筑工地当小工，偶然间和在建写字楼的设计师聊，没想到他们竟都是1992年参加的高考（那时候全国一摸一样的考题），湖南民工当年考了515落榜了，设计师在北京当年考了497上了建筑工程大学。N年后，命运竟是如此差异！
张小娴：如果可以选择的话，不要用恨来结束一段爱,和男友分手以后，知道他仍然很爱你，想你回心转意，所以当你寂寞的时候，你会找他。你已经不爱他了，也不想复合，只是你太闷。而他，是随传随到的。这种做法是不是很自私。假使你曾经付出最深的爱，你怎会忍心用他的尊严打发你的寂寞？有一天，当他清醒了，他会恨你的。如果可以选择的话，不要用恨来结束一段爱 ——张小娴
这个世界上所有成功的人都在试图控制他内心的魔鬼,每个人的内心都充满了魔鬼。学会控制他。魔鬼可能是贪欲，可能是绝望，也可能是戾气。但无论如何，去控制他，这个世界上所有成功的人都在试图控制他内心的魔鬼。
"喜欢或者讨厌,是让人莫名其妙的事情","我们总会在不设防的时候喜欢上一些人。没什么原因,也许只是一个温和的笑容,一句关切的问候。可能未曾谋面,可能志趣并不相投,可能不在一个高度,却牢牢地放在心上了。 冥冥中该来则来,无处可逃,就好像喜欢一首歌,往往就因为一个旋律或一句打动你的歌词。喜欢或者讨厌,是让人莫名其妙的事情。"
放弃了、就不该后悔、失去了、就不该回忆,放弃了、就不该后悔、失去了、就不该回忆。放下该放下的你、退出没结局的剧 ——那些记忆，像丢失的烟雾，被侵泡着，发白、腐烂，最后它们伤痕累累地落在某个角落消逝，朦胧一片......
高中与大学的区别,高中里每天课很多，但仍有时间做自己喜欢的事，大学里每天课不多，但总没时间做自己喜欢的事；高中里教室一下课很热闹，大学里教室一下课很沉闷；高中里朋友之间嘴上很不客气，其实好的要死，大学里朋友之间嘴上特别客气，其实未必多好；高中里，累并快乐着，大学里，忙却迷茫着....
糗事百科之移动老总上公厕,【幽默】移动老总上公厕，守门大爷说：进去三毛出来二毛！老总一愣：出来还收费？大爷说：学习移动双向收费。 老总如厕出来又被拦住：你蹲的是八号坑，交一块钱选号费，超过三分钟，再交一块钱超时费，厕所有背景音乐，收彩铃费二毛。如果您经常来，我劝您办个公厕套餐比较合算，还送草纸200张呢。
但愿你是我最美的风景，我是你久等的归人,一世容颜，过路的风景 ——红尘中，我们擦肩而过，到底，谁是谁的风景……我只知道当距离不再是距离的时候，我们一定会相遇，结成水，凝成冰，亦或，化作尘埃……但愿你是我最美的风景，我是你久等的归人。
异地恋考验着对方的耐心，也考验了自己的认真,拍拖就应该经历一下异地恋。体会一下欣喜忧愁无从分享，欢笑落泪不能拥抱。隔着屏幕隔着电话隔着书信联系直到你几乎疯狂。学会拒绝诱惑，学会处理一个人的时间，学会照顾自己。……也只有这样，在下一个拥抱，乃至白头偕老，你才会感恩，异地恋不仅是考验着对方的耐心，更是考验了自己的认真。
为什么我们总觉得痛苦大于快乐,为什么我们总觉得痛苦大于快乐；忧伤大于欢喜；悲哀大于幸福。是因为我们总是把不属于痛苦的东西当作痛苦；把不属于忧伤的东西当作忧伤；把不属于悲哀的东西当作悲哀；而把原本该属于快乐、欢喜、幸福的东西看得很平淡，没有把他们当作真正的快乐、欢喜和幸福。其实，知足就是幸福。
微笑是一种力量,微笑是一种力量——9岁的谭嘉雯和外公谭荣运，住在杭州下沙525公交起点站的公厕里，3平方米。外公是公厕管理员，每月生活费400元，每顿都是大饼、咸菜就白粥。谭嘉雯上小学二年级，活泼爱笑，爱撒娇，说话尾音总往上翘。“你想过那种穿得好、吃得好的生活吗？”“我现在就是在过这种生活啊！”钱江晚报
给自己一个重生的机会吧,当他说不愿欠你太多等等，如果是为了要分手，那其实一万句话，都等于不爱你了，不珍惜你了。说的越多，就代表他离开的决心就越坚定。面对这样一个不珍惜你的人，又何必留恋，继续纠结下去只会越来越烦恼，痛苦，受伤，还不如就此放手，长痛不如短痛，给自己一个重生的机会吧，再痛，也会过去的。
上线，是为了打发寂寞；隐身，是为了躲避失望,有人说：上线，是为了打发寂寞；隐身，是为了躲避失望。什么时候，我们喜欢上了安静，却又很怕寂寞；什么时候，我们爱上了自信，却又很怕失望。于是，我们喜欢上了这样：拿起手机，看看是否错过了谁的电话，是否还有未来得及看的短信，可是熟悉的墙纸告诉我们：没有消息。
世界上最珍贵的不是得不到的,"世界上最珍贵的不是得不到的，也不是已失去的而是把握住眼前的幸福;失去的东西不一定是你的幸福，它之所以让人留恋，是因为它给人以美好的想象空间;但是生活不是想象，幸福不是想象,它们都是实实在在的点点滴滴.当一切美好的东西被外力轻易摧垮时，就说明也许它的基础不是坚固的混凝土，而是一堆泡沫。"
爱情到了艰难困顿的时候，不如停一停,爱情到了艰难困顿的时候，不如停一停，给彼此冷静和想念的空间，你可以选择一星期只在周末见面，克制自己不要主动电话他，一段时间后，他便会开始想念你需要你；如果他就此疏远你，那就随他去吧。这样一个男人，你若为他奔赴一个陌生的城市，他却不会惦念你独自一人的生活，苦守着，还有什么意义？
人的一生,【男人】二十岁的时候是半成品；三十岁的时候是成品；四十岁的时候是精品；五十岁的时候是极品；六十岁的时候是样品；七十岁的时候是纪念品。【女人】二十岁的时候是教科书；三十岁的时候是课外书；四十岁的时候是漫画书；五十岁的时候是百科全书；六十岁的时候是说明书；七十岁的时候是历史书。
有一种爱挂着泪珠，但很凄美，它叫放弃,有一种爱挂着泪珠，但很凄美，它叫放弃！放弃虽然痛苦，但也是一种幸福拥有，感情是不能勉强的，如果死死抓住，抓住的也是伤痕和痛苦。把手握紧，里面什么也没有，把手松开，拥有的是一切。人生就是这样，无论是否曾经抓住抑或远去，那些东西都不可能离去，虽然有些事不能回首，有些人只能永远埋藏。
看到你的笑容，一切都不重要了,也许是我太执着，把你看的太重，想试着自己慢慢的淡出你的视线，从此不在上线，不在发消息，不在打电话。当这样做的时候，是想引起你的注意，希望你会在乎我。无论你怎样的在乎与不在乎，看到你的笑容，一切都不重要了！
明明在心里，明明很在乎，还要无所谓,明明人在线，明明想说话，还要学隐身；明明很难过，明明很想哭，还要裂嘴笑；明明很孤单，明明很害怕，还要一个人；明明想见面，明明很期待，还要去拒绝；明明心很乱，明明想人陪，还要装沉默；明明舍不得，明明放不下，还要去放手；明明在心里，明明很在乎，还要无所谓！
真正的朋友不是玻璃做的,朋友不是玻璃做的，有许多人总是把朋友当做玻璃，小心翼翼的怕碰坏了。有时候，明明对朋友很不满，却不敢表达出来，害怕一旦表达不满，就会发生冲突；一旦发生冲突，就会伤害感情；一旦伤害感情，就失去这个朋友。真正的朋友不是玻璃做的，如果朋友真的像玻璃一样不许你碰，这样的朋友破了就破了吧。
需要欣赏，更需要配合,看了徐志摩的诗，再一次感动于他意境的优美：我一把揪住了西北风，问它要落叶的颜色。我一把揪住了东南风，问他要嫩芽的光泽。其实，东南风和西北风如果不肯配合，他是什么也要不来的.是呀，我们的亲情，友情，爱情也大抵如此。需要欣赏，更需要配合。所以，任何时候要心存感激。
