整租·盛世华廷 1室1厅 北,1000元/月,整租,1室1厅1卫 59㎡,"
                          "
整租·金都花园(奎文区) 2室1厅 南/北,900元/月,整租,2室1厅1卫 71㎡,"
                          "
整租·世贸中心 2室1厅 南,1300元/月(季付价),整租,2室1厅1卫 80㎡,"
                          "
整租·渤景湾 2室1厅 南,1150元/月,整租,2室1厅1卫 75㎡ 精装修,"
                          "
整租·颐园社区 3室1厅 南/北,750元/月,整租,3室1厅1卫 72㎡,"
                          "
整租·紫金公馆 1室1厅 东,1000元/月(季付价),整租,1室1厅1卫 74㎡,"
                          "
整租·五洲佳苑 2室2厅 南/北,1400元/月,整租,2室2厅1卫 95㎡,"
                          "
整租·金马家园 3室2厅 南/北,1300元/月,整租,3室2厅2卫 163㎡,"
                          "
整租·金都国际广场 1室1厅 北,1000元/月(季付价),整租,1室1厅1卫 45㎡,"
                          "
整租·香格里晶座 1室0厅 北,900元/月,整租,1室0厅1卫 36㎡,"
                          "
整租·中央生活城 1室1厅 南,1000元/月,整租,1室1厅1卫 43㎡,"
                          "
整租·圣菲漫步 2室1厅 南,700元/月(季付价),整租,2室1厅1卫 99㎡,"
                          "
整租·银枫家园 1室1厅 南,750元/月(季付价),整租,1室1厅1卫 70㎡,"
                          "
整租·康城广场公寓 1室1厅 南,850元/月(半年付价),整租,1室1厅1卫 46㎡,"
                          "
整租·供销社家属院 2室1厅 南/北,700元/月,整租,2室1厅1卫 86㎡,"
                          "
整租·市府家属院 3室1厅 东/南/北,800元/月,整租,3室1厅1卫 120㎡,"
                          "
整租·龙泽苑 2室1厅 南/北,1400元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·广丰Loft公寓 1室1厅 北,1000元/月(季付价),整租,1室1厅1卫 40㎡,"
                          "
整租·泰华领域 1室1厅 南,1200元/月,整租,1室1厅1卫 48㎡,"
                          "
整租·恒信学府 4室2厅 南,1000元/月(季付价),整租,4室2厅2卫 166㎡,"
                          "
整租·公众大厦 1室1厅 南,1000元/月,整租,1室1厅1卫 57㎡,"
                          "
整租·曼哈顿大厦 2室0厅 西北,1000元/月,整租,2室0厅1卫 70㎡,"
                          "
整租·泰华领域 1室1厅 南,1200元/月(季付价),整租,1室1厅1卫 81㎡ 精装修,"
                          "
整租·金鼎财富广场 1室1厅 北,700元/月,整租,1室1厅1卫 27㎡,"
                          "
整租·金融服务中心 1室1厅 北,1000元/月,整租,1室1厅1卫 70㎡,"
                          "
整租·渤景湾 3室1厅 南,700元/月(季付价),整租,3室1厅1卫 91㎡,"
                          "
整租·北方茶都 1室1厅 北,900元/月(季付价),整租,1室1厅1卫 62㎡ 精装修,"
                          "
整租·联盟西院 2室1厅 南/北,500元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·二棉家属院 2室0厅 南,480元/月(季付价),整租,2室0厅1卫 51㎡,"
                          "
整租·中国烟草公司家属院 3室2厅 南/北,1700元/月,整租,3室2厅1卫 90㎡,"
                          "
整租·恒信御峰 3室2厅 南/北,800元/月(季付价),整租,3室2厅1卫 110㎡,"
                          "
整租·鑫润香岸花园 2室1厅 南,900元/月,整租,2室1厅1卫 80㎡,"
                          "
title,price,mode,type,direction
整租·圣城嘉苑 3室1厅 南/北,850元/月(半年付价),整租,3室1厅1卫 76㎡,"
                          "
整租·寿光一中花园 3室2厅 南/北,1700元/月(年付价),整租,3室2厅2卫 133㎡,"
                          "
整租·晨鸣威尼斯小镇 2室1厅 南/北,1000元/月,整租,2室1厅1卫 98㎡,"
                          "
整租·中阳鑫源组团 3室1厅 南/北,1100元/月,整租,3室1厅1卫 91㎡,"
                          "
整租·圣达公馆住宅楼 2室1厅 南/北,1100元/月,整租,2室1厅1卫 123㎡,"
                          "
整租·中阳金都花园 2室1厅 南/北,600元/月,整租,2室1厅1卫 79㎡,"
                          "
整租·供销社家属院 2室1厅 南/北,700元/月,整租,2室1厅1卫 86㎡,"
                          "
整租·中央华府(寿光市) 2室1厅 南/北,1000元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·圣和苑 3室1厅 南/北,700元/月,整租,3室1厅1卫 90㎡ 精装修,"
                          "
整租·兆祥小区 2室1厅 南/北,1050元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·银海玉苑 2室2厅 南/北,1250元/月(年付价),整租,2室2厅1卫 100㎡ 精装修,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,1300元/月,整租,2室1厅1卫 93㎡,"
                          "
整租·文盛家园 2室1厅 南/北,380元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·壹号公馆 2室2厅 南,1050元/月,整租,2室2厅1卫 75㎡,"
                          "
整租·杭州嘉园 2室2厅 南/北,850元/月,整租,2室2厅1卫 90㎡,"
                          "
整租·教授新村 2室1厅 南/北,1500元/月,整租,2室1厅1卫 104㎡ 精装修,"
                          "
整租·屯田东村新社区 2室1厅 南/北,1300元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·市委小区 2室1厅 南/北,900元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·寿光圣都中学家属院 3室1厅 南/北,1000元/月(年付价),整租,3室1厅1卫 97㎡,"
                          "
整租·尧兴家园 3室1厅 南,950元/月,整租,3室1厅1卫 110㎡,"
                          "
整租·SOHO公寓 1室1厅 南,800元/月(年付价),整租,1室1厅1卫 55㎡,"
                          "
整租·供销社家属院 2室1厅 南,650元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·西城首府 2室2厅 南,1200元/月,整租,2室2厅1卫 80㎡,"
                          "
整租·金鼎财富广场 1室0厅 南,700元/月,整租,1室0厅1卫 27㎡,"
                          "
整租·壹号公馆 2室1厅 南/北,1300元/月,整租,2室1厅1卫 93㎡,"
                          "
整租·古槐社区 3室2厅 南/北,1250元/月(半年付价),整租,3室2厅1卫 138㎡,"
                          "
整租·银苑小区(寿光市) 3室2厅 南,1250元/月,整租,3室2厅1卫 140㎡,"
                          "
整租·中阳渤海花园 1室1厅 南,900元/月,整租,1室1厅1卫 58㎡,"
                          "
整租·壹号公馆 2室1厅 南,1000元/月(年付价),整租,2室1厅1卫 75㎡,"
                          "
整租·海益数码港 1室1厅 北,1100元/月,整租,1室1厅1卫 51㎡,"
                          "
整租·城投一品世家 1室1厅 北,950元/月,整租,1室1厅1卫 33㎡,"
                          "
整租·金鼎财富广场 1室0厅 北,850元/月,整租,1室0厅1卫 33㎡,"
                          "
整租·中阳渤海花园 1室0厅 南,800元/月,整租,1室0厅1卫 59㎡,"
                          "
整租·海益数码港 1室1厅 北,1000元/月,整租,1室1厅1卫 51㎡,"
                          "
整租·金鼎财富广场 1室1厅 北,700元/月,整租,1室1厅1卫 27㎡,"
                          "
整租·商贸组团 2室1厅 南,750元/月(半年付价),整租,2室1厅1卫 85㎡,"
                          "
整租·兰亭香苑 2室1厅 南/北,950元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·市委小区 2室1厅 南/北,800元/月,整租,2室1厅0卫 80㎡,"
                          "
整租·中阳渤海花园 1室1厅 南,800元/月,整租,1室1厅1卫 59㎡,"
                          "
整租·大唐芙蓉园 2室1厅 南/北,1000元/月(半年付价),整租,2室1厅1卫 88㎡,"
                          "
整租·联盟西院 2室1厅 南/北,500元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·市府家属院 3室1厅 东/南/北,800元/月,整租,3室1厅1卫 120㎡,"
                          "
整租·SOHO公寓 1室0厅 南,800元/月(年付价),整租,1室0厅1卫 55㎡,"
                          "
整租·市委小区 3室2厅 南,800元/月(年付价),整租,3室2厅1卫 107㎡,"
                          "
整租·玫瑰园公寓楼 1室1厅 南/北,1000元/月,整租,1室1厅1卫 45㎡,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,1200元/月,整租,2室1厅1卫 95㎡,"
                          "
整租·杭州嘉园 2室1厅 南/北,800元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·商业小区 3室1厅 南/北,450元/月,整租,3室1厅1卫 92㎡,"
                          "
整租·现代社区 2室1厅 南/北,1000元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·联盟西院 2室1厅 南/北,650元/月,整租,2室1厅1卫 89㎡,"
                          "
整租·中南世纪城 3室2厅 南/北,1500元/月,整租,3室2厅1卫 120㎡,"
                          "
整租·SOHO公寓 1室0厅 南/北,700元/月,整租,1室0厅1卫 70㎡,"
                          "
整租·华茂贵宾楼 1室0厅 南/北,600元/月,整租,1室0厅1卫 43㎡,"
                          "
整租·果品小区 3室2厅 南/北,1100元/月,整租,3室2厅1卫 130㎡,"
                          "
整租·供电公司小区 3室2厅 南/北,1300元/月,整租,3室2厅1卫 150㎡,"
                          "
整租·现代锦城 4室2厅 南/北,2000元/月,整租,4室2厅2卫 180㎡,"
                          "
整租·徐家新村 3室1厅 南/北,1170元/月,整租,3室1厅1卫 139㎡,"
                          "
整租·玫瑰园(寿光市) 2室1厅 南,2200元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·副食品加工厂家属院 2室1厅 南/北,380元/月,整租,2室1厅1卫 65㎡,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,850元/月,整租,2室1厅1卫 96㎡,"
                          "
title,price,mode,type,direction
整租·联盟西院 2室1厅 南/北,500元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·寿光一中花园 3室2厅 南/北,1700元/月(年付价),整租,3室2厅2卫 133㎡,"
                          "
整租·市委小区 3室2厅 南,800元/月(年付价),整租,3室2厅1卫 107㎡,"
                          "
整租·兰亭香苑 2室1厅 南/北,950元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·市委小区 2室1厅 南/北,800元/月,整租,2室1厅0卫 80㎡,"
                          "
整租·供销社家属院 2室1厅 南/北,700元/月,整租,2室1厅1卫 86㎡,"
                          "
整租·金鼎财富广场 1室1厅 北,700元/月,整租,1室1厅1卫 27㎡,"
                          "
整租·商贸组团 2室1厅 南,750元/月(半年付价),整租,2室1厅1卫 85㎡,"
                          "
整租·果品小区 3室2厅 南/北,1100元/月,整租,3室2厅1卫 130㎡,"
                          "
整租·商业小区 3室1厅 南/北,450元/月,整租,3室1厅1卫 92㎡,"
                          "
整租·SOHO公寓 1室0厅 南,800元/月(年付价),整租,1室0厅1卫 55㎡,"
                          "
整租·杭州嘉园 2室1厅 南/北,800元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·华茂贵宾楼 1室0厅 南/北,600元/月,整租,1室0厅1卫 43㎡,"
                          "
整租·联盟西院 2室1厅 南/北,650元/月,整租,2室1厅1卫 89㎡,"
                          "
整租·市府家属院 3室1厅 东/南/北,800元/月,整租,3室1厅1卫 120㎡,"
                          "
整租·现代社区 2室1厅 南/北,1000元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·玫瑰园公寓楼 1室1厅 南/北,1000元/月,整租,1室1厅1卫 45㎡,"
                          "
整租·圣城嘉苑 3室1厅 南/北,850元/月(半年付价),整租,3室1厅1卫 76㎡,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,1200元/月,整租,2室1厅1卫 95㎡,"
                          "
整租·SOHO公寓 1室0厅 南/北,700元/月,整租,1室0厅1卫 70㎡,"
                          "
整租·晨鸣威尼斯小镇 2室1厅 南/北,1000元/月,整租,2室1厅1卫 98㎡,"
                          "
整租·圣达公馆住宅楼 2室1厅 南/北,1100元/月,整租,2室1厅1卫 123㎡,"
                          "
整租·中阳金都花园 2室1厅 南/北,600元/月,整租,2室1厅1卫 79㎡,"
                          "
整租·中央华府(寿光市) 2室1厅 南/北,1000元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·中阳鑫源组团 3室1厅 南/北,1100元/月,整租,3室1厅1卫 91㎡,"
                          "
整租·兆祥小区 2室1厅 南/北,1050元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·银海玉苑 2室2厅 南/北,1250元/月(年付价),整租,2室2厅1卫 100㎡ 精装修,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,1300元/月,整租,2室1厅1卫 93㎡,"
                          "
整租·教授新村 2室1厅 南/北,1500元/月,整租,2室1厅1卫 104㎡ 精装修,"
                          "
整租·圣和苑 3室1厅 南/北,700元/月,整租,3室1厅1卫 90㎡ 精装修,"
                          "
整租·文盛家园 2室1厅 南/北,380元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·杭州嘉园 2室2厅 南/北,850元/月,整租,2室2厅1卫 90㎡,"
                          "
整租·壹号公馆 2室2厅 南,1050元/月,整租,2室2厅1卫 75㎡,"
                          "
整租·徐家新村 3室1厅 南/北,1170元/月,整租,3室1厅1卫 139㎡,"
                          "
整租·副食品加工厂家属院 2室1厅 南/北,380元/月,整租,2室1厅1卫 65㎡,"
                          "
整租·中南世纪城 3室2厅 南/北,1500元/月,整租,3室2厅1卫 120㎡,"
                          "
整租·供电公司小区 3室2厅 南/北,1300元/月,整租,3室2厅1卫 150㎡,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,850元/月,整租,2室1厅1卫 96㎡,"
                          "
整租·现代锦城 4室2厅 南/北,2000元/月,整租,4室2厅2卫 180㎡,"
                          "
整租·玫瑰园(寿光市) 2室1厅 南,2200元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·屯田东村新社区 2室1厅 南/北,1300元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·西城首府 2室2厅 南,1200元/月,整租,2室2厅1卫 80㎡,"
                          "
整租·市委小区 2室1厅 南/北,900元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·金鼎财富广场 1室0厅 南,700元/月,整租,1室0厅1卫 27㎡,"
                          "
整租·尧兴家园 3室1厅 南,950元/月,整租,3室1厅1卫 110㎡,"
                          "
整租·SOHO公寓 1室1厅 南,800元/月(年付价),整租,1室1厅1卫 55㎡,"
                          "
整租·供销社家属院 2室1厅 南,650元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·寿光圣都中学家属院 3室1厅 南/北,1000元/月(年付价),整租,3室1厅1卫 97㎡,"
                          "
整租·银苑小区(寿光市) 3室2厅 南,1250元/月,整租,3室2厅1卫 140㎡,"
                          "
整租·古槐社区 3室2厅 南/北,1250元/月(半年付价),整租,3室2厅1卫 138㎡,"
                          "
整租·中阳渤海花园 1室1厅 南,900元/月,整租,1室1厅1卫 58㎡,"
                          "
整租·壹号公馆 2室1厅 南,1000元/月(年付价),整租,2室1厅1卫 75㎡,"
                          "
整租·壹号公馆 2室1厅 南/北,1300元/月,整租,2室1厅1卫 93㎡,"
                          "
整租·金鼎财富广场 1室0厅 北,850元/月,整租,1室0厅1卫 33㎡,"
                          "
整租·城投一品世家 1室1厅 北,950元/月,整租,1室1厅1卫 33㎡,"
                          "
整租·海益数码港 1室1厅 北,1100元/月,整租,1室1厅1卫 51㎡,"
                          "
整租·中阳渤海花园 1室1厅 南,800元/月,整租,1室1厅1卫 59㎡,"
                          "
整租·海益数码港 1室1厅 北,1000元/月,整租,1室1厅1卫 51㎡,"
                          "
整租·大唐芙蓉园 2室1厅 南/北,1000元/月(半年付价),整租,2室1厅1卫 88㎡,"
                          "
整租·中阳渤海花园 1室0厅 南,800元/月,整租,1室0厅1卫 59㎡,"
                          "
title,price,mode,type,direction
整租·中南世纪城 3室2厅 南/北,1500元/月,整租,3室2厅1卫 120㎡,"
                          "
整租·寿光一中花园 3室2厅 南/北,1700元/月(年付价),整租,3室2厅2卫 133㎡,"
                          "
整租·兆祥小区 2室1厅 南/北,850元/月,整租,2室1厅1卫 60㎡ 精装修,"
                          "
整租·圣城嘉苑 3室1厅 南/北,850元/月(半年付价),整租,3室1厅1卫 76㎡,"
                          "
整租·供销社家属院 2室1厅 南/北,700元/月,整租,2室1厅1卫 86㎡,"
                          "
整租·中阳御景名都 3室2厅 南,1200元/月,整租,3室2厅1卫 120㎡,"
                          "
整租·槐香园 2室2厅 南/北,1300元/月,整租,2室2厅1卫 102㎡,"
                          "
整租·心悦蓝湾 1室1厅 南,800元/月,整租,1室1厅1卫 20㎡,"
                          "
整租·海益数码港 1室0厅 南,888元/月,整租,1室0厅1卫 50㎡ 精装修,"
                          "
整租·中南世纪城 2室1厅 南,1300元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·寿光市锦都花园 2室1厅 北,850元/月,整租,2室1厅1卫 95㎡,"
                          "
整租·金鑫组团 3室2厅 南,667元/月,整租,3室2厅1卫 126㎡,"
                          "
整租·仙霞圣都嘉苑 3室2厅 南/北,1700元/月(年付价),整租,3室2厅1卫 112㎡ 精装修,"
                          "
整租·百合嘉苑 2室1厅 南/北,500元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·林场小区 3室1厅 南/北,500元/月(半年付价),整租,3室1厅1卫 90㎡,"
                          "
整租·中南世纪星城 1室1厅 南/北,700元/月,整租,1室1厅1卫 55㎡,"
                          "
整租·丽都住宅小区 2室1厅 南/北,500元/月,整租,2室1厅1卫 76㎡,"
                          "
整租·百合嘉苑 2室1厅 南/北,300元/月,整租,2室1厅1卫 70㎡,"
                          "
整租·洛西新村 1室1厅 南/北,650元/月(半年付价),整租,1室1厅1卫 60㎡,"
                          "
整租·洛兴社区 1室1厅 南,700元/月,整租,1室1厅1卫 60㎡ 精装修,"
                          "
整租·农行家属院(古槐路) 2室1厅 南,450元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·粮食局家属院 2室1厅 南,470元/月,整租,2室1厅1卫 70㎡,"
                          "
合租·潍坊职业学院宿舍院 2居室 南/北卧,550元/月,合租,2室1厅1卫 76㎡,"
                          "
整租·怡园花都小区 3室2厅 南,1000元/月,整租,3室2厅1卫 137㎡,"
                          "
整租·鸿基花园(寿光市) 3室2厅 南/北,1400元/月,整租,3室2厅1卫 144㎡,"
                          "
整租·果品小区 2室1厅 南,450元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·中南世纪城 3室2厅 南/北,2300元/月(年付价),整租,3室2厅2卫 143㎡ 精装修,"
                          "
整租·圣城街道赵家仕庄村 2室1厅 南/北,850元/月,整租,2室1厅1卫 90㎡ 精装修,"
                          "
整租·壹号公馆 2室1厅 南,1100元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·银枫家园 1室1厅 南,750元/月(季付价),整租,1室1厅1卫 70㎡,"
                          "
整租·美丽华小区 3室2厅 南/北,1800元/月(季付价),整租,3室2厅1卫 121㎡ 精装修,"
                          "
整租·公众大厦 1室1厅 南,1000元/月,整租,1室1厅1卫 57㎡,"
                          "
整租·海岱新园 2室1厅 南/北,900元/月,整租,2室1厅1卫 130㎡ 精装修,"
                          "
整租·潍坊科技学院家属院西区 2室2厅 南/北,600元/月,整租,2室2厅1卫 89㎡,"
                          "
整租·中阳渤海花园 1室1厅 南/北,650元/月,整租,1室1厅1卫 59㎡,"
                          "
整租·金都花园(奎文区) 2室1厅 南/北,900元/月,整租,2室1厅1卫 71㎡,"
                          "
整租·山东联盟化工集团有限公司第二生活区 2室1厅 南,450元/月,整租,2室1厅1卫 88㎡,"
                          "
整租·寿光圣都中学家属院 2室1厅 南/北,600元/月,整租,2室1厅1卫 70㎡,"
                          "
整租·商贸组团 2室1厅 南/北,500元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·丽都住宅小区 2室2厅 南,550元/月,整租,2室2厅1卫 97㎡,"
                          "
整租·美林花园 2室2厅 南,15000元/月(年付价),整租,2室2厅1卫 92㎡ 精装修,"
                          "
整租·齐民思酒厂家属院 3室1厅 南,850元/月,整租,3室1厅1卫 100㎡,"
                          "
整租·美林花园 3室2厅 南/北,1000元/月,整租,3室2厅1卫 140㎡,"
                          "
整租·椒园村小区 2室1厅 南,500元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·工业组团 2室1厅 南,500元/月,整租,2室1厅1卫 89㎡,"
                          "
整租·中南世纪星城 1室1厅 南,600元/月,整租,1室1厅1卫 55㎡,"
                          "
整租·壹号公馆 2室1厅 南/北,900元/月,整租,2室1厅1卫 74㎡,"
                          "
整租·东七村 3室2厅 南/北,1250元/月,整租,3室2厅1卫 130㎡,"
                          "
整租·中南世纪星城 2室1厅 南/北,1000元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·文盛家园 2室1厅 南/北,420元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·怡园花都小区 2室1厅 南/北,1100元/月,整租,2室1厅1卫 86㎡,"
                          "
整租·商业小区 2室1厅 南/北,560元/月,整租,2室1厅1卫 70㎡,"
                          "
整租·洛西新村 3室2厅 南/北,1000元/月,整租,3室2厅2卫 150㎡ 精装修,"
                          "
整租·百合嘉苑 2室1厅 南,700元/月,整租,2室1厅1卫 78㎡,"
                          "
整租·城投一品世家 1室1厅 南/北,1000元/月,整租,1室1厅1卫 40㎡ 精装修,"
                          "
整租·金鼎财富广场 1室0厅 南,1500元/月,整租,1室0厅1卫 75㎡,"
                          "
整租·名门公馆 1室0厅 南/北,700元/月,整租,1室0厅1卫 30㎡,"
                          "
整租·金鼎财富广场 1室0厅 南,800元/月,整租,1室0厅1卫 37㎡,"
                          "
整租·德润绿城 1室0厅 南/北,800元/月,整租,1室0厅1卫 60㎡,"
                          "
整租·东七村 3室1厅 南/北,1200元/月,整租,3室1厅1卫 130㎡,"
                          "
整租·现代社区 2室1厅 南/北,1300元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·现代社区 3室2厅 南/北,1250元/月,整租,3室2厅1卫 122㎡,"
                          "
整租·屯田东村新社区 2室1厅 南/北,900元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·中阳御景名都 1室1厅 南/北,700元/月(半年付价),整租,1室1厅1卫 70㎡,"
                          "
整租·市府家属院 3室2厅 南/北,1000元/月,整租,3室2厅1卫 110㎡,"
                          "
整租·海益数码港 1室0厅 南/北,1000元/月,整租,1室0厅0卫 53㎡,"
                          "
整租·市委小区 3室1厅 南,750元/月,整租,3室1厅1卫 120㎡,"
                          "
整租·城投一品世家 2室1厅 南,1200元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·美林花园 3室2厅 南,1700元/月,整租,3室2厅1卫 140㎡,"
                          "
整租·现代社区 2室1厅 南,1000元/月,整租,2室1厅1卫 75㎡,"
                          "
整租·屯田东村新社区 2室1厅 南/北,1300元/月,整租,2室1厅1卫 100㎡,"
                          "
整租·寿光圣都中学家属院 3室1厅 南/北,1000元/月(年付价),整租,3室1厅1卫 97㎡,"
                          "
整租·市委小区 2室1厅 南/北,900元/月,整租,2室1厅1卫 90㎡,"
                          "
整租·金鼎财富广场 1室0厅 南,700元/月,整租,1室0厅1卫 27㎡,"
                          "
整租·西城首府 2室2厅 南,1200元/月,整租,2室2厅1卫 80㎡,"
                          "
整租·SOHO公寓 1室1厅 南,800元/月(年付价),整租,1室1厅1卫 55㎡,"
                          "
整租·供销社家属院 2室1厅 南,650元/月,整租,2室1厅1卫 80㎡,"
                          "
整租·德润绿城 2室2厅 南,1300元/月,整租,2室2厅1卫 100㎡,"
                          "
整租·中南世纪星城 2室1厅 南/北,850元/月(年付价),整租,2室1厅1卫 93㎡,"
                          "
整租·齐民思酒厂家属院 2室2厅 南/北,900元/月,整租,2室2厅1卫 98㎡,"
                          "
整租·中阳御景名都 1室3厅 南,1350元/月,整租,1室3厅1卫 120㎡,"
                          "
整租·屯田东村新社区 2室1厅 南/北,1000元/月,整租,2室1厅1卫 102㎡,"
                          "
整租·银海玉苑 3室1厅 南/北,1500元/月,整租,3室1厅1卫 150㎡ 精装修,"
                          "
整租·华茂贵宾楼 1室0厅 南/北,600元/月,整租,1室0厅1卫 43㎡,"
                          "
整租·华茂贵宾楼 1室1厅 西,600元/月,整租,1室1厅1卫 45㎡,"
                          "
整租·市府家属院 3室1厅 南,750元/月,整租,3室1厅1卫 100㎡,"
                          "
整租·市府家属院 2室1厅 南/北,1250元/月,整租,2室1厅1卫 73㎡,"
                          "
整租·张建桥新村 3室2厅 南/北,1000元/月,整租,3室2厅1卫 125㎡ 精装修,"
                          "
整租·金顿大厦 2室1厅 南/北,1100元/月,整租,2室1厅1卫 72㎡,"
                          "
整租·五星花园 3室2厅 南/北,1500元/月,整租,3室2厅2卫 159㎡,"
                          "
整租·尧兴家园 2室2厅 南/北,900元/月(半年付价),整租,2室2厅1卫 90㎡ 精装修,"
                          "
整租·鸿基花园(寿光市) 3室1厅 南,1800元/月(年付价),整租,3室1厅1卫 106㎡,"
                          "
整租·人才公寓 1室1厅 南,920元/月,整租,1室1厅1卫 72㎡,"
                          "
整租·寿光市人民医院盛和居小区 2室2厅 南/北,1250元/月,整租,2室2厅1卫 110㎡,"
                          "
整租·中阳御景名都 3室2厅 南,1200元/月,整租,3室2厅1卫 110㎡,"
                          "
整租·仙霞圣都嘉苑 3室2厅 南/北,1400元/月,整租,3室2厅1卫 150㎡,"
                          "
整租·金鑫组团 3室2厅 南/北,1100元/月,整租,3室2厅1卫 125㎡,"
                          "
整租·长运小区 3室1厅 南,500元/月,整租,3室1厅1卫 80㎡,"
                          "
整租·经信局家属北院 2室2厅 南,600元/月,整租,2室2厅1卫 85㎡,"
                          "
整租·中南世纪城 2室1厅 南,1500元/月,整租,2室1厅1卫 100㎡,"
                          "
